Section,X,Y,Z
Section-{0},14.65,44.56,0
Section-{0},14.17,43.33,0
Section-{0},61.61,59.48,0
Section-{0},14.45,44.45,0
Section-{0},14.92,45.03,0
Section-{0},14.37,43.62,0
Section-{0},14.05,42.2,0
Section-{0},14.92,44.96,0
Section-{0},14.37,43.97,0
Section-{0},58.5,69.35,0
Section-{0},13.98,42.39,0
Section-{0},12.4,40.77,0
Section-{0},60.87,60.03,0
Section-{0},14.13,47.14,0
Section-{0},58.78,62.92,0
Section-{0},61.97,59.21,0
Section-{0},14.05,42.95,0
Section-{0},58.19,64.98,0
Section-{0},14.17,43.22,0
Section-{0},14.92,44.84,0
Section-{0},14.92,45.24,0
Section-{0},14.92,45.11,0
Section-{0},13.98,42.55,0
Section-{0},13.5,41.53,0
Section-{0},61.14,59.77,0
Section-{0},59.25,70.78,0
Section-{0},13.9,42.47,0
Section-{0},13.78,41.8,0
Section-{0},14.29,43.5,0
Section-{0},14.33,46.81,0
Section-{0},11.42,40.34,0
Section-{0},14.17,43.14,0
Section-{0},59.88,60.98,0
Section-{0},13.7,41.73,0
Section-{0},60.94,59.96,0
Section-{0},68.11,58.33,0
Section-{0},62.83,58.74,0
Section-{0},63.58,58.41,0
Section-{0},63.94,58.34,0
Section-{0},62.24,59.01,0
Section-{0},63.39,58.53,0
Section-{0},64.37,58.26,0
,,,
Section-{1},59.65,60.58,0
Section-{1},60.51,59.76,0
Section-{1},9.68,54.14,0
Section-{1},9.53,54.06,0
Section-{1},60.04,60.19,0
Section-{1},11.97,55.21,0
Section-{1},10,54.3,0
Section-{1},10.59,54.62,0
Section-{1},59.37,60.94,0
Section-{1},11.97,55.06,0
Section-{1},10.31,54.45,0
Section-{1},11.42,54.78,0
Section-{1},61.02,59.36,0
Section-{1},58.98,61.49,0
Section-{1},8.98,53.67,0
Section-{1},60.12,60.1,0
Section-{1},11.77,54.93,0
Section-{1},61.69,58.88,0
Section-{1},61.85,58.8,0
Section-{1},60.2,60.03,0
Section-{1},11.81,55.53,0
Section-{1},10.98,54.78,0
Section-{1},59.57,60.66,0
Section-{1},61.54,58.97,0
Section-{1},10.12,54.39,0
Section-{1},61.1,59.29,0
Section-{1},60.79,59.52,0
Section-{1},59.29,61.03,0
Section-{1},11.3,54.78,0
Section-{1},60.87,59.45,0
Section-{1},62.48,58.49,0
Section-{1},66.5,57.83,0
Section-{1},63.39,58.14,0
Section-{1},63.98,57.98,0
Section-{1},64.45,57.9,0
Section-{1},67.09,57.89,0
Section-{1},62.83,58.33,0
Section-{1},65.2,57.82,0
Section-{1},68.11,58.14,0
Section-{1},62.99,58.3,0
Section-{1},68.19,58.21,0
Section-{1},66.42,57.82,0
,,,
Section-{2},57.76,62.72,0
Section-{2},60.24,59.43,0
Section-{2},60.31,59.4,0
Section-{2},24.96,41.9,0
Section-{2},24.96,41.24,0
Section-{2},24.49,45.47,0
Section-{2},11.14,54.68,0
Section-{2},24.96,41.55,0
Section-{2},61.22,58.69,0
Section-{2},12.52,39.76,0
Section-{2},10.98,54.1,0
Section-{2},24.96,41.08,0
Section-{2},60.83,59,0
Section-{2},60.75,59.04,0
Section-{2},11.73,39.13,0
